CTUID,DGUID,CTNAME,LANDAREA,PRUID,how_many,X_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID
"5350014.00",2021S05075350014.00,"0014.00",0.4727,"35",30,5,2502362,26022877,,"170","170",Yonge-Bay Corridor,Yonge-Bay Corridor (170),Not an NIA or Emerging Neighbourhood,NA,17824801
"5350014.00",2021S05075350014.00,"0014.00",0.4727,"35",30,38,2502329,26022844,,"168","168",Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,NA,17825329
"5350014.00",2021S05075350014.00,"0014.00",0.4727,"35",30,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350014.00",2021S05075350014.00,"0014.00",0.4727,"35",30,41,2502326,26022841,,"165","165",Harbourfront-CityPlace,Harbourfront-CityPlace (165),Not an NIA or Emerging Neighbourhood,NA,17825377
"5350015.00",2021S05075350015.00,"0015.00",0.286,"35",25,38,2502329,26022844,,"168","168",Downtown Yonge East,Downtown Yonge East (168),Not an NIA or Emerging Neighbourhood,NA,17825329
"5350015.00",2021S05075350015.00,"0015.00",0.286,"35",25,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350015.00",2021S05075350015.00,"0015.00",0.286,"35",25,83,2502284,26022799,,"073","073",Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,NA,17826049
"5350016.00",2021S05075350016.00,"0016.00",0.6317,"35",61,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350016.00",2021S05075350016.00,"0016.00",0.6317,"35",61,83,2502284,26022799,,"073","073",Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,NA,17826049
"5350016.00",2021S05075350016.00,"0016.00",0.6317,"35",61,86,2502281,26022796,,"070","070",South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,NA,17826097
"5350018.00",2021S05075350018.00,"0018.00",0.347,"35",17,40,2502327,26022842,,"166","166",St Lawrence-East Bayfront-The Islands,St Lawrence-East Bayfront-The Islands (166),Not an NIA or Emerging Neighbourhood,NA,17825361
"5350018.00",2021S05075350018.00,"0018.00",0.347,"35",17,83,2502284,26022799,,"073","073",Moss Park,Moss Park (73),Not an NIA or Emerging Neighbourhood,NA,17826049
"5350018.00",2021S05075350018.00,"0018.00",0.347,"35",17,86,2502281,26022796,,"070","070",South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,NA,17826097
"5350019.00",2021S05075350019.00,"0019.00",0.2489,"35",9,86,2502281,26022796,,"070","070",South Riverdale,South Riverdale (70),Not an NIA or Emerging Neighbourhood,NA,17826097
"5350019.00",2021S05075350019.00,"0019.00",0.2489,"35",9,91,2502276,26022791,,"065","065",Greenwood-Coxwell,Greenwood-Coxwell (65),Not an NIA or Emerging Neighbourhood,NA,17826177
