CTUID,DGUID,CTNAME,LANDAREA,PRUID,how_many,X_id,AREA_ID,AREA_ATTR_ID,PARENT_AREA_ID,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,CLASSIFICATION,CLASSIFICATION_CODE,OBJECTID
"5350084.00",2021S05075350084.00,"0084.00",0.409,"35",19,87,2502280,26022795,,"069","069",Blake-Jones,Blake-Jones (69),Not an NIA or Emerging Neighbourhood,NA,17826113
"5350084.00",2021S05075350084.00,"0084.00",0.409,"35",19,88,2502279,26022794,,"068","068",North Riverdale,North Riverdale (68),Not an NIA or Emerging Neighbourhood,NA,17826129
"5350084.00",2021S05075350084.00,"0084.00",0.409,"35",19,89,2502278,26022793,,"067","067",Playter Estates-Danforth,Playter Estates-Danforth (67),Not an NIA or Emerging Neighbourhood,NA,17826145
"5350084.00",2021S05075350084.00,"0084.00",0.409,"35",19,90,2502277,26022792,,"066","066",Danforth,Danforth (66),Not an NIA or Emerging Neighbourhood,NA,17826161
"5350084.00",2021S05075350084.00,"0084.00",0.409,"35",19,128,2502239,26022754,,"057","057",Broadview North,Broadview North (57),Not an NIA or Emerging Neighbourhood,NA,17826769
"5350085.00",2021S05075350085.00,"0085.00",0.4947,"35",20,60,2502307,26022822,,"098","098",Rosedale-Moore Park,Rosedale-Moore Park (98),Not an NIA or Emerging Neighbourhood,NA,17825681
"5350085.00",2021S05075350085.00,"0085.00",0.4947,"35",20,85,2502282,26022797,,"071","071",Cabbagetown-South St.James Town,Cabbagetown-South St.James Town (71),Not an NIA or Emerging Neighbourhood,NA,17826081
"5350085.00",2021S05075350085.00,"0085.00",0.4947,"35",20,88,2502279,26022794,,"068","068",North Riverdale,North Riverdale (68),Not an NIA or Emerging Neighbourhood,NA,17826129
"5350085.00",2021S05075350085.00,"0085.00",0.4947,"35",20,89,2502278,26022793,,"067","067",Playter Estates-Danforth,Playter Estates-Danforth (67),Not an NIA or Emerging Neighbourhood,NA,17826145
"5350085.00",2021S05075350085.00,"0085.00",0.4947,"35",20,128,2502239,26022754,,"057","057",Broadview North,Broadview North (57),Not an NIA or Emerging Neighbourhood,NA,17826769
